nome,email,status,valor,forma_pagamento,parcelas
Pedro Lucas Costa,GwnsbXJB@aol.com,reprovado,635,pix,5
Murilo Silva,x1aDjgVP@gmail.com,aprovado,942,pix,6
Caleb Rodrigues,LBd71dvR@yahoo.com,aprovado,1212,parcelado,5
Heloísa Oliveira,1ugLMI3G@yahoo.com,reprovado,824,desconto com cupom,11
Pedro Lucas Rodrigues,qHMjKKLa@yahoo.com,aprovado,706,parcelado,11
Benício Almeida,nTubEw2A@hotmail.com,aprovado,1059,pix,8
Sophia Almeida,um3XLWTd@gmail.com,aprovado,948,pix,11
Nicolas Oliveira,KfrhiCTe@hotmail.com,reprovado,1229,pix,8
Davi Rodrigues,GzneQquw@hotmail.com,aprovado,1100,a vista,5
Samuel Costa,aoOWoEV8@outlook.com,aprovado,602,a vista,5
Carolina Cunha,1kizpQ9L@aol.com,reprovado,1200,parcelado,7
Benício Ferreira,W29nm28I@outlook.com,reprovado,1158,desconto com cupom,3
Carolina Oliveira,rV40KoZ7@yahoo.com,reprovado,817,desconto com cupom,6
Francisco Almeida,l7Y6wSO2@gmail.com,aprovado,1212,parcelado,7
Valentina Ferreira,ESa3BN2U@yahoo.com,aprovado,1144,pix,5
Pedro Henrique Santos,fvCRKn75@yahoo.com,reprovado,639,pix,2
Pedro Cunha,uSJWHlkL@aol.com,reprovado,875,parcelado,11
Yasmin Cunha,TZncWnBs@yahoo.com,aprovado,894,desconto com cupom,10
Alícia Almeida,Ajzxvf1w@yahoo.com,reprovado,793,a vista,12
Maria Eduarda Cunha,Sv3cl8YM@aol.com,reprovado,1141,desconto com cupom,5
Julia Cunha,LmruQoY8@gmail.com,reprovado,678,desconto com cupom,10
Lucca Rodrigues,sIUDIaGV@hotmail.com,aprovado,638,parcelado,6
Larissa Silva,mBF5ccPl@outlook.com,aprovado,1269,pix,8
Lorena Santos,HJRTGXlI@aol.com,aprovado,633,pix,1
Guilherme Pereira,0inKVCUE@hotmail.com,reprovado,1024,pix,9
Isis Cunha,g4TBPVxW@hotmail.com,aprovado,1025,a vista,11
Emanuelly Silva,3WGwakZN@aol.com,reprovado,1077,a vista,9
João Miguel Oliveira,a94vzp3O@gmail.com,aprovado,725,a vista,12
Beatriz Almeida,FMCcUEgm@yahoo.com,reprovado,888,pix,8
Lucca Santos,HUzfJM2e@gmail.com,reprovado,1247,desconto com cupom,9
Pedro Henrique Almeida,MKKJH2Ub@outlook.com,aprovado,1149,parcelado,10
Anthony Silva,cUQLbUPF@yahoo.com,aprovado,1024,a vista,8
João Cunha,k9J5HVN3@yahoo.com,reprovado,664,pix,3
Nicolas Almeida,O2JQZ6rl@hotmail.com,reprovado,1202,a vista,12
Giovanna Santos,M5UM0xVr@hotmail.com,reprovado,809,desconto com cupom,7
Vinícius Rodrigues,olb9Sw6S@gmail.com,reprovado,617,parcelado,3
Luiza Almeida,jc7qomOQ@aol.com,reprovado,830,a vista,6
Clara Santos,giMumwZm@outlook.com,aprovado,624,a vista,10
Samuel Pereira,yFCfxFKT@hotmail.com,reprovado,850,pix,12
Clara Santos,LnM57ayW@yahoo.com,aprovado,819,parcelado,12
João Lucas Souza,keEnJHvm@yahoo.com,reprovado,1127,pix,8
Gabriela Pereira,77qr2CUe@outlook.com,reprovado,889,parcelado,9
Enzo Miguel Rodrigues,3gFFFz3V@aol.com,aprovado,656,a vista,8
Julia Almeida,SbH5ChxQ@hotmail.com,aprovado,704,pix,4
Ana Clara Silva,ssAkXX4z@hotmail.com,aprovado,1051,desconto com cupom,5
Valentina Rodrigues,nUDGEOVj@hotmail.com,reprovado,1211,parcelado,3
Ana Clara Oliveira,kgYjjv1d@aol.com,reprovado,834,a vista,6
Gustavo Santos,FvQxjQco@gmail.com,aprovado,1167,parcelado,4
